Membership No  Date Joined  Active  
    83535      2020-11-18   yes   
    20979      2015-9-2     yes   
    90378      2018-9-15    yes   
    65203      2018-2-16    yes   
    80073      2019-8-3     yes   
    57522      2018-9-25    yes   
    99473      2018-3-4     yes   
    49212      2020-2-13    yes   
    73363      2018-7-9     yes   
    97469      2019-9-14    yes   
    85485      2019-10-13   yes   
    58592      2020-6-16    yes   
    31948      2019-7-6     yes   
    48652      2016-7-10    yes   
    28639      2017-4-17    yes   
    24583      2015-2-24    yes   
    42150      2017-10-7    yes   
    65591      2020-5-3     yes   
    10637      2019-2-19    yes   
    20118      2015-12-20   yes   
    58775      2016-12-11   yes   
    53798      2015-1-7     yes   
    74159      2019-1-5     yes   
    21605      2020-11-7    yes   
    82280      2020-7-9     yes   
    64607      2019-1-6     yes   
    88218      2015-10-11   yes   
    82194      2019-11-9    yes   
    19330      2015-5-11    yes   
    81776      2018-10-6    yes   
    20088      2020-1-9     yes   
    25186      2020-9-1     yes   
    36271      2017-5-14    yes   
    20293      2019-7-23    yes   
    46193      2017-5-16    yes   
    15904      2019-7-9     yes   
    36721      2019-3-16    yes   
    36141      2018-1-9     yes   
    57389      2019-10-20   yes   
    21400      2019-1-18    yes   
    29594      2017-1-10    yes   
    61167      2016-2-3     yes   
    45178      2015-2-19    yes   
    14065      2016-9-4     yes   
    58345      2015-4-18    yes   
    75581      2017-3-18    yes   
    53323      2016-8-8     yes   
    10169      2015-8-9     yes   
    41831      2017-8-11    yes   
    80550      2017-9-3     yes   
    97479      2017-10-6    yes   
    31490      2015-4-11    yes   
    62857      2019-9-6     yes   
    76774      2018-9-18    yes   
    13330      2017-10-1    yes   
    81898      2019-6-19    yes   
    89628      2019-9-12    yes   
    21510      2015-2-5     yes   
    44054      2019-12-19   yes   
    40310      2018-12-21   yes   
    85829      2015-10-1    yes   
    91015      2016-12-2    yes   
    11957      2017-3-21    yes   
    82888      2020-11-6    yes   
    52652      2020-6-9     yes   
    62018      2017-2-8     yes   
    68014      2018-6-9     yes   
    83794      2017-2-11    yes   
    89276      2016-9-18    yes   
    75717      2019-10-9    yes   
    83027      2017-10-3    yes   
    39216      2015-11-15   yes   
    57444      2020-9-7     yes   
    80627      2019-9-19    yes   
    88386      2015-3-1     yes   
    30256      2018-11-11   yes   
    30985      2017-12-14   yes   
    69266      2018-2-3     yes   
    97105      2019-1-9     yes   
    85016      2017-1-21    yes   
    84407      2015-8-3     yes   
    50618      2018-3-11    yes   
    41577      2017-9-18    yes   
    59268      2019-11-24   yes   
    92794      2015-4-18    yes   
    88492      2016-7-8     yes   
    18216      2020-5-5     yes   
    81624      2017-2-14    yes   
    82530      2019-7-8     yes   
    33843      2020-10-3    yes   
    56989      2017-10-3    yes   
    87051      2018-4-6     yes   
    74447      2020-5-22    yes   
    63654      2016-11-2    yes   
    45744      2016-7-22    yes   
    21789      2018-4-11    yes   
    97813      2019-12-9    yes   
    64706      2017-8-12    yes   
    74767      2020-4-12    yes   
    78687      2019-2-21    yes   
    72155      2016-9-23    yes   
    61746      2018-4-24    yes   
    63213      2020-2-12    yes   
    56266      2018-10-21   yes   
    35571      2015-6-4     yes   
    37731      2019-2-12    yes   
    96564      2018-5-24    yes   
    69922      2020-9-22    yes   
    19120      2018-7-13    yes   
    61630      2015-6-8     yes   
    88070      2016-5-7     yes   
    64071      2018-2-11    yes   
    42114      2018-12-6    yes   
    20974      2018-4-1     yes   
    69160      2019-8-19    yes   
    72782      2016-11-17   yes   
    44598      2020-12-5    yes   
    88238      2020-12-13   yes   
    31117      2016-5-6     yes   
    67871      2015-8-2     yes   
    97928      2019-7-17    yes   
    44727      2016-11-10   yes   
    69934      2017-2-12    yes   
    32685      2018-7-18    yes   
    58731      2020-5-14    yes   
    69516      2016-2-4     yes   
    59838      2020-12-21   yes   
    63532      2020-10-20   yes   
    55935      2019-11-12   yes   
    32767      2018-9-24    yes   
    22906      2016-4-11    yes   
    65477      2020-12-7    yes   
    19828      2015-5-10    yes   
    52232      2020-10-1    yes   
    71001      2019-7-8     yes   
    17307      2020-8-11    yes   
    97142      2017-12-23   yes   
    15152      2017-8-11    yes   
    61155      2017-11-21   yes   
    23392      2015-8-21    yes   
    87899      2015-11-23   yes   
    25279      2018-1-19    yes   
    39864      2018-1-11    yes   
    54727      2015-7-14    yes   
    61633      2015-11-1    yes   
    83396      2015-5-17    yes   
    42774      2019-1-9     yes   
    27228      2015-2-11    yes   
    57376      2015-7-2     yes   
    32535      2019-6-11    yes   
    67113      2019-10-11   yes   
    83136      2017-8-7     yes   
    91426      2019-1-25    yes   
    54947      2016-11-8    yes   
    79892      2017-11-5    yes   
    42762      2020-3-4     yes   
    72171      2020-8-10    yes   
    18652      2016-4-5     yes   
    50728      2018-7-9     yes   
    69415      2019-8-14    yes   
    55184      2020-9-21    yes   
    74505      2016-5-20    yes   
    69753      2017-9-9     yes   
    14471      2017-5-1     yes   
    82315      2017-8-4     yes   
    28372      2015-12-10   yes   
    30950      2016-3-2     yes   
    27320      2015-11-7    yes   
    59277      2020-7-11    yes   
    56171      2016-1-1     yes   
    20386      2015-5-6     yes   
    22040      2016-6-20    yes   
    33916      2015-2-12    yes   
    90979      2018-10-22   yes   
    56791      2018-5-24    yes   
    74834      2017-3-7     yes   
    27096      2015-11-23   yes   
    23198      2020-6-14    yes   
    88490      2017-8-13    yes   
    29004      2020-1-11    yes   
    64286      2019-9-14    yes   
    64715      2016-3-18    yes   
    63713      2016-4-9     yes   
    82376      2020-8-25    yes   
    30767      2015-1-10    yes   
    89665      2015-2-24    yes   
    66272      2017-3-13    yes   
    69284      2016-7-15    yes   
    95335      2016-11-25   yes   
    31863      2018-12-8    yes   
    88392      2017-10-7    yes   
    27996      2019-1-19    yes   
    89962      2018-11-24   yes   
    46608      2018-3-22    yes   
    79226      2018-4-11    yes   
    14021      2015-7-23    yes   
    34035      2017-2-1     yes   
    57583      2019-8-21    yes   
    31512      2020-8-17    yes   
    81529      2019-12-2    yes   
    34269      2018-10-18   yes   
    55678      2018-11-1    yes   
    63621      2018-9-6     yes   
    15673      2016-1-22    yes   
    68576      2018-11-23   yes   
    52353      2016-12-4    yes   
    48488      2018-3-7     yes   
    80114      2016-3-17    yes   
    36975      2017-3-9     yes   
    86384      2020-10-12   yes   
    74028      2018-4-14    yes   
    19077      2019-4-14    yes   
    49128      2019-11-24   yes   
    36067      2016-1-10    yes   
    41991      2019-7-25    yes   
    94092      2019-5-16    yes   
    77904      2019-5-8     yes   
    44929      2018-7-14    yes   
    31008      2017-4-17    yes   
    45500      2019-9-4     yes   
    79512      2018-9-20    yes   
    67495      2018-7-22    yes   
    75273      2015-7-21    yes   
    92430      2018-2-8     yes   
    37860      2020-9-14    yes   
    70172      2015-12-6    yes   
    12432      2018-1-17    yes   
    37853      2020-12-23   yes   
    30127      2015-1-22    yes   
    56183      2015-11-12   yes   
    83692      2019-7-9     yes   
    69511      2018-8-14    yes   
    95831      2019-1-8     yes   
    75744      2016-4-1     yes   
    59633      2019-9-21    yes   
    29791      2016-9-15    yes   
    77561      2018-11-3    yes   
    78324      2016-6-3     yes   
    68718      2018-6-19    yes   
    44253      2019-5-1     yes   
    32997      2015-6-22    yes   
    65216      2018-11-4    yes   
    89379      2019-11-6    yes   
    90628      2020-2-10    yes   
    87948      2015-5-19    yes   
    33428      2016-2-18    yes   
    78188      2020-1-3     yes   
    13037      2019-4-10    yes   
    97253      2018-12-18   yes   
    12649      2018-11-6    yes   
    41408      2017-8-11    yes   
    74988      2018-11-14   yes   
    68380      2016-7-14    yes   
    33627      2018-11-10   yes   
    62227      2018-1-15    yes   
    76556      2016-12-16   yes   
    55205      2018-11-1    yes   
    10494      2017-1-9     yes   
    49634      2016-9-11    yes   
    87654      2020-9-23    yes   
    29108      2020-9-24    yes   
    70875      2017-3-3     yes   
    87571      2015-8-20    yes   
    11826      2020-11-22   yes   
    12948      2018-10-9    yes   
    70677      2016-10-22   yes   
    82044      2017-4-25    yes   
    95245      2017-11-24   yes   
    47552      2018-4-15    yes   
    80233      2019-5-11    yes   
    29237      2018-7-13    yes   
    52630      2016-6-16    yes   
    18886      2019-7-19    yes   
    99337      2017-2-25    yes   
    90914      2015-1-15    yes   
    33210      2019-11-12   yes   
    88362      2017-4-16    yes   
    56267      2015-6-3     yes   
    95174      2019-1-10    yes   
    56507      2016-2-23    yes   
    95916      2015-3-8     yes   
    74072      2017-12-23   yes   
    44969      2018-11-3    yes   
    52203      2020-6-7     yes   
    15073      2020-1-2     yes   
    69391      2020-8-19    yes   
    69878      2020-7-3     yes   
    59206      2015-7-23    yes   
    11073      2020-2-23    yes   
    89571      2015-10-4    yes   
    10012      2016-6-5     yes   
    27067      2017-10-21   yes   
    51813      2017-5-1     yes   
    59370      2018-1-15    yes   
    77068      2020-11-20   yes   
    39708      2017-7-6     yes   
    30538      2020-9-8     yes   
    41802      2020-5-8     yes   
    35997      2018-2-23    yes   
    18430      2015-2-10    yes   
    37203      2018-5-24    yes   
    95715      2018-8-13    yes   
    21602      2017-3-3     yes   
    94495      2019-6-11    yes   
    70236      2017-3-21    yes   
    55360      2016-9-24    yes   
    98008      2017-12-12   yes   
    56074      2020-6-1     yes   
    50898      2015-3-24    yes   
    90786      2020-7-2     yes   
    84566      2017-5-2     yes   
    75422      2015-4-1     yes   
    13106      2015-1-16    yes   
    73597      2016-11-25   yes   
    80999      2015-3-14    yes   
    43648      2017-11-17   yes   
    80156      2015-10-16   yes   
    83129      2016-5-7     yes   
    44660      2015-10-2    yes   
    18957      2020-10-12   yes   
    35776      2017-5-18    yes   
    42335      2020-4-3     yes   
    41760      2017-3-10    yes   
    87996      2015-2-18    yes   
    49801      2016-6-5     yes   
    19913      2017-9-13    yes   
    55436      2019-8-20    yes   
    41706      2020-9-23    yes   
    83572      2019-11-16   yes   
    60481      2017-9-7     yes   
    29451      2015-8-9     yes   
    50444      2019-4-3     yes   
    15949      2015-10-4    yes   
    40816      2016-2-4     yes   
    61705      2019-9-17    yes   
    82996      2020-6-10    yes   
    89163      2015-1-15    yes   
    23470      2015-10-18   yes   
    82862      2015-10-4    yes   
    10560      2016-1-15    yes   
    42730      2020-4-13    yes   
    58338      2017-2-3     yes   
    94239      2019-6-6     yes   
    23453      2017-10-10   yes   
    41153      2020-3-3     yes   
    18055      2020-10-6    yes   
    15533      2016-8-15    yes   
    60448      2015-9-3     yes   
    86830      2016-6-20    yes   
    62340      2018-1-25    yes   
    73078      2020-9-12    yes   
    35509      2017-1-14    yes   
    56085      2018-3-12    yes   
    68355      2015-3-9     yes   
    69992      2015-8-13    yes   
    97489      2018-8-10    yes   
    91989      2020-4-9     yes   
    22241      2019-5-1     yes   
    34514      2018-6-6     yes   
    97938      2015-6-14    yes   
    71769      2019-4-25    yes   
    52620      2020-10-6    yes   
    62636      2016-9-1     yes   
    73052      2015-12-24   yes   
    21571      2015-2-8     yes   
    50225      2017-10-24   yes   
    36839      2019-4-17    yes   
    49972      2018-5-14    yes   
    34735      2016-11-11   yes   
    98135      2018-10-11   yes   
    51246      2015-3-4     yes   
    48093      2016-3-24    yes   
    41556      2020-12-15   yes   
    30204      2019-3-10    yes   
    24807      2017-3-25    yes   
    14682      2017-12-18   yes   
    91823      2020-11-24   yes   
    30758      2015-9-5     yes   
    15029      2015-6-13    yes   
    57112      2018-6-19    yes   
    95144      2018-4-6     yes   
    41003      2017-11-15   yes   
    11174      2017-1-2     yes   
    44633      2020-4-1     yes   
    26471      2017-6-11    yes   
    40519      2017-9-6     yes   
    91154      2020-11-9    yes   
    43859      2015-9-10    yes   
    50675      2017-7-1     yes   
    46894      2016-1-8     yes   
    80951      2015-10-4    yes   
    97456      2016-4-9     yes   
    91392      2015-1-8     yes   
    70555      2017-8-23    yes   
    76261      2018-8-15    yes   
    22318      2019-12-2    yes   
    66266      2020-6-19    yes   
    94159      2017-1-18    yes   
    95077      2016-9-16    yes   
    87791      2015-6-19    yes   
    79048      2018-1-10    yes   
    91508      2020-4-19    yes   
    49964      2017-8-2     yes   
    12393      2018-7-18    yes   
    35029      2017-3-6     yes   
    69260      2018-3-2     yes   
    58171      2016-12-1    yes   
    99654      2017-8-3     yes   
    26361      2017-12-15   yes   
    74260      2019-5-25    yes   
    20050      2017-9-10    yes   
    53252      2019-3-1     yes   
    14646      2016-9-21    yes   
    84919      2018-2-17    yes   
    65615      2016-12-4    yes   
    20467      2017-12-12   yes   
    49917      2015-12-3    yes   
    53038      2017-5-8     yes   
    53568      2016-11-19   yes   
    80157      2019-8-24    yes   
    43473      2016-8-5     yes   
    60231      2015-4-6     yes   
    97890      2019-8-12    yes   
    88114      2017-7-21    yes   
    47110      2019-1-4     yes   
    20777      2018-5-1     yes   
    87272      2017-2-17    yes   
    80202      2015-11-20   yes   
    37589      2016-6-5     yes   
    12772      2016-12-22   yes   
    47638      2016-7-4     yes   
    14323      2016-6-9     yes   
    55391      2016-10-1    yes   
    37712      2015-6-17    yes   
    83096      2019-6-14    yes   
    18931      2015-7-22    yes   
    93324      2015-7-16    yes   
    75605      2015-6-21    yes   
    58259      2016-4-5     yes   
    55508      2015-3-22    yes   
    93838      2019-6-12    yes   
    89732      2019-3-23    yes   
    62103      2019-12-21   yes   
    26599      2015-7-24    yes   
    39144      2018-7-12    yes   
    32464      2020-1-16    yes   
    55187      2020-1-14    yes   
    28180      2017-9-19    yes   
    62508      2017-5-8     yes   
    73539      2018-1-19    yes   
    79883      2020-7-5     yes   
    15730      2017-9-8     yes   
    68247      2015-6-17    yes   
    80094      2019-2-11    yes   
    80457      2018-2-19    yes   
    55592      2020-1-10    yes   
    35687      2017-12-2    yes   
    90240      2016-5-11    yes   
    44624      2016-4-14    yes   
    91790      2017-8-10    yes   
    10419      2019-12-10   yes   
    37149      2020-1-20    yes   
    36942      2020-12-4    yes   
    15623      2018-12-4    yes   
    41161      2020-7-2     yes   
    28866      2019-12-13   yes   
    86388      2018-2-23    yes   
    62470      2016-3-16    yes   
    36739      2017-11-11   yes   
    83841      2015-9-12    yes   
    59997      2017-11-24   yes   
    51670      2020-5-25    yes   
    86418      2016-11-14   yes   
    43989      2020-3-5     yes   
    29104      2019-5-25    yes   
    26147      2019-12-8    yes   
    70632      2016-8-17    yes   
    87582      2020-6-25    yes   
    90840      2016-2-24    yes   
    30682      2015-11-23   yes   
    86055      2019-5-11    yes   
    37981      2017-4-10    yes   
    15056      2016-12-7    yes   
    25380      2015-7-5     yes   
    18850      2017-8-6     yes   
    16828      2018-8-13    yes   
    98220      2016-3-13    yes   
    29774      2016-1-10    yes   
    83964      2016-4-13    yes   
    17264      2020-7-5     yes   
    46944      2015-1-18    yes   
    19920      2019-7-18    yes   
    86329      2020-12-24   yes   
    40336      2020-12-12   yes   
    26875      2020-6-18    yes   
    84921      2019-2-19    yes   
    78938      2015-11-14   yes   
    87202      2020-7-16    yes   
    25259      2017-2-22    yes   
    57836      2019-5-22    yes   
    61459      2020-4-18    yes   
    61372      2015-12-15   yes   
    47414      2018-7-9     yes   
    19400      2020-3-25    yes   
    93654      2018-4-2     yes   
    65833      2015-11-6    yes   
    20840      2017-10-24   yes   
    36538      2019-10-1    yes   
    18739      2017-4-6     yes   
    43819      2020-8-18    yes   
    32165      2020-5-3     yes   
    21105      2017-9-11    yes   
    34827      2019-5-1     yes   
    80732      2015-10-9    yes   
    32073      2019-10-9    yes   
    86354      2018-4-3     yes   
    27157      2018-7-17    yes   
    86530      2016-4-13    yes   
    15618      2018-11-1    yes   
    14522      2018-10-25   yes   
    34268      2015-3-3     yes   
    92753      2020-7-22    yes   
    21513      2016-12-19   yes   
    25033      2020-10-8    yes   
    95077      2019-2-4     yes   
    94453      2019-2-12    yes   
    32275      2018-1-20    yes   
    25472      2019-5-4     yes   
    71974      2019-2-13    yes   
    34764      2018-5-10    yes   
    54121      2018-7-5     yes   
    47292      2016-4-8     yes   
    15676      2018-9-16    yes   
    92085      2020-4-3     yes   
    10767      2017-6-9     yes   
    77747      2015-5-18    yes   
    61540      2020-4-12    yes   
    70446      2020-4-6     yes   
    49933      2018-12-13   yes   
    86062      2017-7-3     yes   
    77713      2020-1-2     yes   
    77388      2017-5-16    yes   
    22195      2016-9-9     yes   
    63247      2020-8-1     yes   
    30758      2019-8-20    yes   
    75324      2016-10-21   yes   
    65608      2016-5-23    yes   
    36848      2018-10-14   yes   
    28307      2015-7-10    yes   
    96168      2015-2-17    yes   
    17470      2015-8-6     yes   
    90111      2019-1-15    yes   
    12544      2016-4-1     yes   
    47140      2016-2-16    yes   
    68467      2019-12-5    yes   
    94652      2017-8-9     yes   
    15109      2016-5-16    yes   
    51919      2019-11-1    yes   
    16628      2017-3-14    yes   
    70427      2016-7-2     yes   
    43804      2016-7-17    yes   
    81810      2019-6-7     yes   
    42376      2017-9-22    yes   
    78580      2018-10-7    yes   
    13278      2016-2-24    yes   
    26469      2015-6-16    yes   
    46580      2017-6-5     yes   
    73570      2017-4-16    yes   
    11853      2017-5-23    yes   
    36831      2019-12-25   yes   
    71978      2017-3-19    yes   
    18363      2019-5-24    yes   
    64941      2017-4-19    yes   
    80461      2016-8-20    yes   
    33667      2015-5-13    yes   
    37165      2015-8-21    yes   
    87042      2018-11-17   yes   
    82321      2018-8-16    yes   
    95484      2017-1-9     yes   
    88872      2019-5-5     yes   
    91909      2020-2-4     yes   
    80654      2020-2-19    yes   
    85621      2017-1-14    yes   
    16904      2015-9-23    yes   
    25501      2019-9-13    yes   
    92787      2020-7-12    yes   
    16534      2016-7-21    yes   
    83735      2015-1-13    yes   
    62235      2020-5-22    yes   
    61759      2020-2-20    yes   
    80350      2017-10-8    yes   
    93034      2017-1-22    yes   
    34272      2018-11-16   yes   
    28284      2017-3-20    yes   
    84092      2015-3-2     yes   
    71508      2017-11-9    yes   
    79562      2019-11-6    yes   
    42765      2018-7-7     yes   
    21332      2015-9-13    yes   
    41082      2016-11-23   yes   
    11735      2016-12-4    yes   
    92113      2018-9-16    yes   
    47774      2016-3-25    yes   
    51419      2018-7-22    yes   
    49788      2018-9-7     yes   
    72262      2019-9-20    yes   
    74841      2015-6-16    yes   
    71883      2015-7-18    yes   
    87604      2015-4-24    yes   
    13656      2018-9-13    yes   
    47674      2018-11-21   yes   
    93918      2016-11-3    yes   
    27387      2020-9-8     yes   
    87984      2016-5-13    yes   
    57042      2015-12-13   yes   
    69109      2016-10-22   yes   
    67931      2015-10-13   yes   
    99876      2018-2-25    yes   
    80602      2017-12-3    yes   
    74532      2019-12-4    yes   
    96159      2018-7-8     yes   
    20421      2018-10-22   yes   
    36854      2020-1-1     yes   
    72102      2015-12-11   yes   
    41207      2017-12-13   yes   
    61803      2019-7-10    yes   
    61618      2016-5-3     yes   
    72790      2016-4-14    yes   
    35196      2016-12-8    yes   
    57000      2019-3-7     yes   
    48272      2017-10-2    yes   
    56045      2019-1-22    yes   
    74302      2020-11-9    yes   
    67035      2015-3-10    yes   
    71847      2016-5-8     yes   
    84663      2020-2-18    yes   
    89546      2018-4-8     yes   
    58113      2019-11-24   yes   
    97353      2015-7-19    yes   
    57888      2018-12-15   yes   
    51809      2016-12-11   yes   
    19794      2019-10-19   yes   
    27104      2017-6-14    yes   
    59801      2020-2-17    yes   
    95779      2019-12-13   yes   
    81337      2019-11-12   yes   
    33967      2016-7-21    yes   
    16667      2017-5-14    yes   
    84715      2019-2-5     yes   
    76746      2019-10-6    yes   
    85029      2019-8-2     yes   
    92387      2015-7-24    yes   
    46573      2017-12-22   yes   
    38038      2018-11-3    yes   
    67758      2017-11-12   yes   
    42158      2016-9-17    yes   
    11084      2020-11-17   yes   
    64403      2017-10-10   yes   
    20191      2016-6-3     yes   
    97098      2015-11-21   yes   
    54197      2016-5-23    yes   
    64438      2016-11-14   yes   
    80228      2017-7-23    yes   
    32834      2019-1-15    yes   
    34636      2020-3-24    yes   
    40571      2016-6-14    yes   
    57933      2015-10-7    yes   
    71368      2019-3-2     yes   
    76555      2018-3-2     yes   
    74446      2015-12-16   yes   
