Membership No  Date Joined  Active  
    89190      2020-12-2    no    
    45710      2019-11-3    no    
    72346      2018-7-15    no    
    75768      2015-6-17    no    
    30513      2016-7-21    no    
    80161      2017-1-12    no    
    35059      2020-7-23    no    
    54337      2016-8-20    no    
    53774      2017-1-12    no    
    29622      2015-11-12   no    
    22722      2017-11-1    no    
    22933      2016-1-21    no    
    98866      2019-12-11   no    
    99345      2016-4-1     no    
    35147      2016-10-5    no    
    57610      2019-5-20    no    
    10148      2019-5-3     no    
    26402      2018-6-19    no    
    68536      2016-5-13    no    
    11002      2018-1-17    no    
    82842      2020-8-24    no    
    96451      2017-4-22    no    
    63803      2015-5-20    no    
    26242      2017-11-19   no    
    24385      2020-3-20    no    
    16712      2016-7-4     no    
    93121      2016-1-23    no    
    17463      2015-11-9    no    
    12572      2019-7-23    no    
    93761      2019-10-3    no    
    65787      2018-2-19    no    
    62115      2018-8-23    no    
    83823      2018-8-21    no    
    51298      2017-10-4    no    
    16003      2020-10-19   no    
    22982      2019-1-15    no    
    18301      2016-2-24    no    
    75740      2017-2-12    no    
    83480      2015-9-12    no    
    57243      2015-5-2     no    
    62879      2016-9-25    no    
    76302      2016-2-9     no    
    43904      2019-8-6     no    
    76126      2016-11-21   no    
    11780      2018-7-19    no    
    13888      2017-1-7     no    
    83253      2015-5-16    no    
    28313      2016-9-9     no    
    90253      2020-12-8    no    
    32185      2017-8-1     no    
    77189      2015-6-14    no    
    93639      2018-8-2     no    
    10186      2016-5-24    no    
    80709      2015-1-1     no    
    31570      2018-1-21    no    
    77873      2018-3-12    no    
    63539      2016-2-7     no    
    36563      2016-7-2     no    
    21502      2018-10-4    no    
    24807      2020-10-3    no    
    53909      2020-6-7     no    
    92374      2019-10-5    no    
    64344      2018-1-12    no    
    13880      2020-3-6     no    
    37384      2016-2-11    no    
    22125      2015-11-17   no    
    38720      2020-2-1     no    
    81131      2018-2-10    no    
    73567      2016-6-2     no    
    54164      2015-9-9     no    
    34230      2020-3-20    no    
    53939      2019-5-2     no    
    60076      2017-4-15    no    
    95971      2016-5-5     no    
    25956      2019-2-14    no    
    65949      2020-3-23    no    
    25234      2015-9-17    no    
    85974      2016-12-21   no    
    88128      2016-10-14   no    
    42158      2016-6-12    no    
    31822      2016-1-11    no    
    68091      2016-2-2     no    
    39386      2015-6-24    no    
    92954      2019-1-9     no    
    22488      2015-2-20    no    
    38838      2020-10-15   no    
    35342      2018-1-18    no    
    38710      2019-6-16    no    
    44556      2015-9-18    no    
    76687      2019-5-13    no    
    85860      2020-9-16    no    
    51536      2020-10-11   no    
    97510      2020-6-4     no    
    41079      2015-5-19    no    
    22191      2020-7-22    no    
    60263      2016-3-14    no    
    13485      2018-4-18    no    
    49973      2016-12-5    no    
    98903      2016-4-12    no    
    48651      2019-4-1     no    
    31428      2016-10-24   no    
    49076      2019-9-9     no    
    29708      2020-4-5     no    
    81733      2015-6-22    no    
    51823      2015-1-21    no    
    75937      2020-2-15    no    
    45937      2020-6-18    no    
    87785      2016-4-14    no    
    98931      2016-3-10    no    
    88753      2018-1-5     no    
    35903      2018-6-5     no    
    62843      2016-3-13    no    
    15187      2016-10-4    no    
    91172      2019-11-22   no    
    15197      2016-12-8    no    
    94137      2019-1-1     no    
    30408      2017-10-8    no    
    44109      2019-6-10    no    
    61366      2019-3-5     no    
    29288      2017-5-16    no    
    71024      2017-11-12   no    
    34172      2017-3-17    no    
    62842      2016-10-19   no    
    39134      2019-10-3    no    
    61423      2020-10-4    no    
    74365      2017-7-6     no    
    80105      2017-2-24    no    
    88579      2016-10-21   no    
    64078      2016-10-16   no    
    48020      2017-4-23    no    
    87556      2016-6-19    no    
    59437      2015-2-1     no    
    65608      2015-3-5     no    
    32822      2019-6-12    no    
    46949      2016-1-18    no    
    21708      2015-7-1     no    
    33899      2017-5-1     no    
    51556      2017-8-3     no    
    77205      2015-8-19    no    
    64972      2016-10-19   no    
    55180      2017-2-4     no    
    31969      2020-4-14    no    
    79073      2018-10-3    no    
    26874      2017-8-17    no    
    19315      2017-6-3     no    
    61195      2017-5-1     no    
    95474      2020-2-19    no    
    77178      2019-4-19    no    
    36733      2020-11-24   no    
    16046      2020-2-10    no    
    80367      2019-5-13    no    
    96534      2018-6-19    no    
    42335      2017-11-14   no    
    18553      2019-5-17    no    
    26530      2020-7-22    no    
    29703      2020-4-14    no    
    28924      2016-1-3     no    
    89245      2019-11-9    no    
    94412      2020-12-14   no    
    62210      2018-8-3     no    
    32579      2019-8-7     no    
    38820      2020-3-21    no    
    90533      2016-9-18    no    
    66967      2020-10-13   no    
    81382      2017-10-20   no    
    55992      2015-4-24    no    
    29397      2015-12-7    no    
    85501      2016-9-19    no    
    95946      2017-4-1     no    
    41284      2020-4-11    no    
    16950      2020-5-25    no    
    84177      2020-4-6     no    
    81891      2015-8-1     no    
    78831      2019-6-1     no    
    49842      2016-10-12   no    
    49600      2017-8-3     no    
    46106      2018-12-10   no    
    45934      2020-6-24    no    
    52444      2016-10-13   no    
    74085      2016-5-2     no    
    97698      2017-6-2     no    
    24116      2019-3-9     no    
    15026      2017-1-17    no    
    88075      2015-10-14   no    
    15686      2020-2-11    no    
    24221      2016-5-19    no    
    14464      2019-8-23    no    
    29347      2019-1-17    no    
    20465      2016-7-11    no    
    34481      2019-6-19    no    
    19377      2016-5-4     no    
    55954      2019-1-17    no    
    53191      2017-6-6     no    
    19481      2019-12-12   no    
    44870      2017-3-21    no    
    51095      2018-5-22    no    
    12621      2015-8-1     no    
    94788      2020-11-25   no    
    81439      2018-5-2     no    
    48822      2015-5-15    no    
    26421      2018-12-20   no    
    20466      2019-6-16    no    
    28264      2020-3-1     no    
    58813      2017-1-21    no    
    48489      2018-7-12    no    
    79920      2017-7-24    no    
    87325      2019-7-17    no    
    29202      2016-9-4     no    
    29329      2015-10-15   no    
    25247      2018-2-16    no    
    93106      2020-6-16    no    
    42047      2020-3-8     no    
    71834      2020-4-7     no    
    67604      2016-12-2    no    
    93505      2017-2-24    no    
    29503      2016-11-16   no    
    76654      2019-5-19    no    
    92669      2016-2-7     no    
    36391      2017-9-16    no    
    86715      2016-12-13   no    
    88827      2020-3-14    no    
    61528      2020-3-21    no    
    58620      2020-3-19    no    
    56923      2018-3-1     no    
    42997      2016-1-1     no    
    33908      2020-11-21   no    
    75415      2017-9-7     no    
    12254      2015-8-8     no    
    93377      2016-4-25    no    
    32791      2017-5-5     no    
    33038      2020-3-2     no    
    62041      2015-12-10   no    
    45368      2017-8-23    no    
    58249      2015-2-24    no    
    55147      2015-3-7     no    
    34847      2020-3-19    no    
    57690      2019-1-6     no    
    48674      2018-8-9     no    
    84133      2017-2-17    no    
    26873      2020-8-23    no    
    18120      2016-2-2     no    
    32326      2017-8-13    no    
    51511      2016-6-10    no    
    72051      2020-11-19   no    
    23645      2015-10-9    no    
    15795      2018-11-7    no    
    39385      2016-5-3     no    
    91083      2017-11-12   no    
    82459      2016-2-25    no    
    11689      2015-6-16    no    
    11805      2015-6-1     no    
    23125      2015-7-21    no    
    33367      2019-2-18    no    
    92382      2019-3-10    no    
    84940      2018-10-24   no    
    86327      2017-6-5     no    
    74513      2018-2-16    no    
    79312      2018-10-20   no    
    24150      2016-12-8    no    
    61417      2015-3-6     no    
    14911      2018-10-5    no    
    34819      2019-5-17    no    
    37760      2015-4-24    no    
    75899      2019-4-5     no    
    80721      2015-6-8     no    
    15427      2017-11-10   no    
    48845      2020-2-10    no    
    30017      2015-2-8     no    
    97863      2018-12-8    no    
    49387      2019-9-11    no    
    52043      2016-4-8     no    
    38255      2016-9-1     no    
    90817      2018-1-25    no    
    57636      2018-7-13    no    
    32098      2018-10-25   no    
    16282      2020-5-8     no    
    87005      2018-5-16    no    
    41803      2017-5-4     no    
    77987      2019-3-16    no    
    59468      2017-8-21    no    
    26576      2016-7-11    no    
    44629      2015-9-18    no    
    80757      2018-4-6     no    
    13749      2018-3-13    no    
    18213      2019-6-25    no    
    57304      2020-2-10    no    
    24424      2016-7-13    no    
    34291      2018-7-9     no    
    12574      2015-5-18    no    
    72207      2016-3-8     no    
    57813      2020-5-20    no    
    67198      2020-12-1    no    
    89706      2020-7-14    no    
    56841      2015-2-15    no    
    33841      2016-4-19    no    
    76619      2019-9-11    no    
    66731      2017-10-11   no    
    47424      2020-4-11    no    
    16824      2020-1-11    no    
    81776      2020-3-4     no    
    33297      2019-8-25    no    
    11522      2020-5-15    no    
    60592      2018-12-9    no    
    15297      2019-3-15    no    
    47297      2019-1-24    no    
    25213      2016-11-6    no    
    20584      2016-11-3    no    
    67152      2015-5-22    no    
    29115      2020-5-10    no    
    18457      2015-9-21    no    
    14172      2017-8-7     no    
    55400      2019-6-21    no    
    53174      2015-5-8     no    
    19912      2018-3-24    no    
    94663      2015-1-25    no    
    62344      2019-12-24   no    
    20669      2019-10-15   no    
    52332      2019-12-4    no    
    90048      2020-1-24    no    
    44530      2015-2-18    no    
    83239      2019-7-11    no    
    90853      2019-1-12    no    
    43829      2015-5-17    no    
    45073      2017-5-22    no    
    98594      2016-1-5     no    
    65568      2015-11-15   no    
    27265      2019-4-7     no    
    45175      2020-6-20    no    
    73389      2020-12-24   no    
    77071      2016-6-18    no    
    24529      2020-4-11    no    
    39927      2017-12-14   no    
    18436      2018-12-6    no    
    33113      2015-7-8     no    
    24907      2015-4-12    no    
    48020      2016-2-1     no    
    44015      2020-7-23    no    
    52219      2015-3-1     no    
    69997      2020-7-23    no    
    17337      2017-8-17    no    
    74990      2015-10-22   no    
    27332      2020-9-20    no    
    43440      2018-9-17    no    
    99907      2020-3-10    no    
    77038      2016-11-8    no    
    39523      2018-12-21   no    
    50063      2015-5-24    no    
    68536      2016-11-21   no    
    87681      2015-10-18   no    
    93118      2017-6-7     no    
    87318      2020-10-17   no    
    27290      2016-5-16    no    
    26098      2015-2-2     no    
    31485      2019-9-23    no    
    41292      2020-9-4     no    
    45393      2020-1-10    no    
    94001      2019-5-4     no    
    82380      2018-3-15    no    
    52142      2020-2-21    no    
    51673      2020-11-4    no    
    33811      2015-7-4     no    
    83459      2016-2-16    no    
    76266      2015-3-16    no    
    26030      2016-12-4    no    
    21356      2020-6-9     no    
    29879      2016-6-15    no    
    64772      2017-5-10    no    
    11639      2020-7-10    no    
    89818      2017-9-24    no    
    87385      2020-4-11    no    
    49866      2015-9-7     no    
    96406      2019-10-8    no    
    47032      2016-4-22    no    
    23803      2016-12-14   no    
    41305      2020-5-23    no    
    42257      2015-6-14    no    
    82253      2019-3-16    no    
    35896      2016-12-8    no    
    48474      2015-1-11    no    
    30796      2020-4-18    no    
    19281      2020-10-12   no    
    16184      2015-7-11    no    
    64862      2018-3-24    no    
    52128      2019-11-20   no    
    17154      2019-4-22    no    
    90974      2019-2-18    no    
    14049      2018-7-16    no    
    35646      2018-1-11    no    
    80596      2020-11-25   no    
    31033      2018-11-17   no    
    51337      2016-9-9     no    
    92189      2016-4-19    no    
    79057      2019-1-25    no    
    13891      2019-5-9     no    
    93141      2017-2-15    no    
    39645      2016-6-24    no    
    93515      2018-11-12   no    
    55068      2018-9-19    no    
    13179      2017-10-1    no    
    59677      2016-5-17    no    
    17966      2015-5-4     no    
    18536      2019-8-4     no    
    60345      2020-1-15    no    
    52855      2016-6-7     no    
    75480      2015-2-7     no    
    17191      2019-9-7     no    
    71287      2015-12-24   no    
    54598      2017-6-25    no    
    68291      2018-4-7     no    
    76392      2018-11-6    no    
    97820      2020-5-17    no    
    69908      2016-6-15    no    
    44630      2018-2-4     no    
    88640      2016-6-8     no    
    11862      2020-3-6     no    
    47065      2017-8-7     no    
    38485      2016-4-13    no    
    73674      2017-7-7     no    
    65842      2017-1-14    no    
    27395      2016-12-17   no    
    82664      2019-4-12    no    
    45977      2020-7-9     no    
    86543      2017-11-5    no    
    55628      2017-11-1    no    
    72506      2019-2-20    no    
    86285      2020-11-8    no    
    70179      2015-10-9    no    
    50823      2016-4-3     no    
    48584      2018-9-3     no    
    48331      2017-12-15   no    
    59768      2020-3-3     no    
    48927      2018-5-13    no    
    93102      2019-1-18    no    
    79777      2020-7-9     no    
    76965      2016-2-19    no    
    97850      2016-1-25    no    
    49296      2020-9-17    no    
    70198      2015-4-2     no    
    42774      2017-1-14    no    
    10317      2019-12-25   no    
    84962      2016-7-7     no    
    35162      2019-5-20    no    
    27317      2017-7-20    no    
    27285      2019-12-5    no    
    17210      2018-2-4     no    
    83022      2018-11-19   no    
    21875      2018-6-11    no    
    46747      2015-11-23   no    
    33832      2020-6-10    no    
    53418      2019-3-11    no    
    72822      2015-4-25    no    
    47297      2017-3-6     no    
    64034      2018-5-1     no    
    46551      2015-10-18   no    
    58418      2019-11-23   no    
    24544      2015-12-16   no    
    57198      2017-5-16    no    
    63108      2016-2-1     no    
    71438      2015-10-17   no    
    70350      2019-1-3     no    
    81312      2015-11-11   no    
    13999      2017-2-4     no    
    68280      2018-4-22    no    
    73792      2019-5-3     no    
    50755      2017-2-4     no    
    75586      2017-2-24    no    
    42862      2017-4-17    no    
    31816      2018-3-8     no    
    15293      2016-12-5    no    
    91857      2018-11-8    no    
    84025      2019-9-10    no    
    78155      2015-1-19    no    
    75214      2016-4-7     no    
    44801      2017-7-15    no    
    44967      2018-8-12    no    
    62326      2019-1-5     no    
    74487      2020-4-8     no    
    64384      2018-6-14    no    
    25822      2018-11-2    no    
    64790      2017-4-21    no    
    24782      2015-2-4     no    
    91902      2018-6-4     no    
    10978      2016-11-21   no    
    45887      2017-2-8     no    
    13383      2018-7-9     no    
    60891      2018-4-13    no    
    76708      2020-8-15    no    
    75250      2017-3-15    no    
    75002      2017-10-1    no    
    21686      2015-1-8     no    
    38641      2017-6-15    no    
    65051      2017-2-3     no    
    63894      2018-5-5     no    
    39285      2020-8-1     no    
    21546      2019-1-24    no    
    40336      2016-7-24    no    
    36446      2018-6-22    no    
    12922      2020-10-3    no    
    18303      2020-6-1     no    
    38637      2017-9-5     no    
    74052      2016-12-4    no    
    35382      2015-4-14    no    
    36263      2015-1-11    no    
    79585      2015-12-6    no    
    46176      2017-2-5     no    
    23825      2018-8-20    no    
    94734      2020-8-17    no    
    10250      2017-3-1     no    
    27725      2019-11-25   no    
    53883      2015-10-19   no    
    32038      2017-2-4     no    
    73891      2016-9-5     no    
    36178      2018-12-7    no    
    70174      2019-10-16   no    
    72627      2016-7-17    no    
    67823      2015-12-3    no    
    81685      2018-2-21    no    
    97429      2015-8-14    no    
    32649      2019-5-17    no    
    66338      2019-4-1     no    
    26338      2018-5-11    no    
    48634      2020-4-12    no    
    49141      2016-1-15    no    
    28509      2016-5-13    no    
    63870      2016-7-19    no    
    65401      2020-12-14   no    
    41346      2016-5-24    no    
    46046      2016-2-3     no    
    93401      2020-10-4    no    
    74107      2015-3-22    no    
    79400      2019-12-9    no    
    30358      2016-10-4    no    
    95889      2020-8-13    no    
    27602      2020-1-1     no    
    70582      2016-10-15   no    
    61388      2019-7-21    no    
    85585      2016-8-12    no    
    72970      2019-9-24    no    
    66578      2016-12-25   no    
    60497      2016-6-11    no    
    91667      2016-3-16    no    
    38055      2018-12-5    no    
    24812      2020-10-8    no    
    49711      2015-4-8     no    
    73649      2016-1-13    no    
    86966      2017-2-10    no    
    75092      2017-5-6     no    
    12735      2015-11-14   no    
    97923      2016-5-4     no    
    15129      2015-11-16   no    
    97939      2020-8-17    no    
    98393      2018-4-5     no    
    93106      2017-12-20   no    
    48359      2018-10-10   no    
    85458      2020-12-23   no    
    60262      2020-9-6     no    
    13198      2015-5-24    no    
    75053      2017-1-17    no    
    45480      2016-11-1    no    
    74396      2018-9-1     no    
    87263      2017-3-17    no    
    98018      2020-11-23   no    
    38622      2019-1-11    no    
    57209      2015-9-9     no    
    46874      2015-7-14    no    
    55995      2019-6-12    no    
    84772      2017-8-10    no    
    93487      2017-4-16    no    
    91815      2015-4-7     no    
    26656      2019-5-4     no    
    78295      2019-10-12   no    
    49414      2016-9-12    no    
    32550      2018-12-18   no    
    44127      2018-7-16    no    
    87727      2018-5-24    no    
    52847      2017-4-16    no    
    29223      2020-9-20    no    
    59471      2016-12-12   no    
    28915      2019-7-25    no    
    12718      2017-11-10   no    
    88271      2019-2-10    no    
    23739      2020-4-3     no    
    43233      2020-2-5     no    
    90686      2019-12-1    no    
    74410      2015-10-20   no    
    62797      2017-2-9     no    
    39631      2020-8-11    no    
    80739      2016-8-24    no    
    59983      2017-7-12    no    
    96922      2020-8-19    no    
    80644      2015-1-13    no    
    52025      2017-11-7    no    
    75776      2017-5-7     no    
    56071      2017-5-19    no    
    49635      2015-5-6     no    
    35818      2018-7-21    no    
    45098      2016-2-19    no    
    11730      2015-11-13   no    
    23402      2016-4-17    no    
    44055      2017-12-12   no    
    42023      2019-2-11    no    
    49811      2016-1-18    no    
    21838      2020-11-18   no    
    30532      2016-11-24   no    
    93231      2016-11-12   no    
    80477      2018-5-12    no    
    62683      2018-10-4    no    
    51912      2020-8-20    no    
    43891      2018-4-14    no    
    34549      2017-9-3     no    
    52702      2017-11-16   no    
    91105      2020-10-3    no    
    25201      2016-7-5     no    
    99085      2017-3-23    no    
    98960      2019-12-11   no    
    47229      2018-3-13    no    
    39369      2019-2-3     no    
    11075      2019-8-9     no    
    77212      2020-7-15    no    
    28962      2020-11-9    no    
    74639      2020-2-25    no    
    36398      2019-12-19   no    
    29637      2020-11-17   no    
    72470      2015-3-13    no    
    33333      2019-10-20   no    
    37963      2019-6-23    no    
    92289      2016-3-4     no    
    41667      2015-10-21   no    
    94464      2016-11-21   no    
    26164      2020-4-7     no    
    29687      2019-1-13    no    
    85198      2016-10-25   no    
    28975      2018-5-19    no    
    97737      2015-3-12    no    
    17668      2016-5-7     no    
    89416      2017-9-21    no    
    58931      2016-11-1    no    
    90269      2017-3-2     no    
    97679      2015-6-9     no    
    37471      2016-8-10    no    
    75511      2016-8-15    no    
    88604      2019-12-9    no    
    21041      2018-4-6     no    
    64524      2015-4-17    no    
    58613      2019-8-14    no    
    34752      2019-8-11    no    
    22875      2018-1-23    no    
    33566      2017-10-17   no    
    50222      2015-10-5    no    
    63154      2018-5-9     no    
    71067      2018-5-17    no    
    12365      2018-3-11    no    
    80625      2018-7-1     no    
    83191      2015-12-11   no    
    35921      2017-7-19    no    
    98929      2017-9-8     no    
    47419      2017-8-18    no    
    36745      2020-5-9     no    
    67283      2016-8-20    no    
    21763      2017-3-18    no    
    63012      2020-1-21    no    
    47308      2020-7-8     no    
    82617      2018-7-10    no    
    17203      2020-3-16    no    
    78008      2015-6-17    no    
    33240      2018-12-10   no    
    99611      2016-10-6    no    
    72995      2016-12-9    no    
    25157      2020-7-25    no    
    68251      2017-6-22    no    
    83296      2019-12-20   no    
    62704      2018-10-7    no    
    64580      2018-12-20   no    
    74727      2016-10-18   no    
    80925      2015-11-10   no    
    29897      2016-1-4     no    
    67593      2016-6-22    no    
    28875      2019-7-13    no    
    68900      2016-8-10    no    
    49767      2017-8-11    no    
    33803      2016-8-16    no    
    59270      2019-4-13    no    
    88909      2016-6-7     no    
    26595      2015-3-11    no    
    46039      2018-2-15    no    
    40420      2015-5-3     no    
    73559      2015-2-18    no    
    87713      2018-12-14   no    
    94182      2017-9-1     no    
    57683      2017-6-22    no    
    28335      2018-9-21    no    
    71571      2017-1-1     no    
    54937      2016-11-23   no    
    59555      2019-8-7     no    
    32662      2015-3-2     no    
    86013      2019-9-19    no    
    99235      2015-3-19    no    
    88382      2017-6-17    no    
    62013      2019-4-1     no    
    49297      2016-5-16    no    
    16122      2015-12-9    no    
    51818      2016-8-22    no    
    77375      2019-1-23    no    
    60971      2019-3-20    no    
    85438      2020-2-13    no    
    94968      2016-2-14    no    
    50324      2016-5-23    no    
    82198      2016-11-18   no    
    91268      2016-5-4     no    
    19705      2015-11-20   no    
    71465      2018-4-14    no    
    74328      2020-7-20    no    
    27623      2020-12-7    no    
    43623      2015-5-9     no    
    62597      2020-10-22   no    
    71926      2016-9-9     no    
    78598      2019-10-1    no    
    35419      2020-11-23   no    
    99812      2019-10-8    no    
    42674      2020-5-6     no    
    36648      2016-9-19    no    
    50249      2018-6-20    no    
    30433      2020-7-11    no    
    88467      2018-2-12    no    
    82547      2020-9-2     no    
    82066      2015-5-18    no    
    34649      2016-11-12   no    
    47737      2016-12-23   no    
    72597      2018-8-15    no    
    26905      2019-8-10    no    
    44293      2019-11-2    no    
    89619      2019-12-8    no    
    21939      2017-6-14    no    
    91508      2016-12-11   no    
    61924      2015-1-12    no    
    52240      2019-6-5     no    
    50254      2018-12-20   no    
    24496      2020-12-15   no    
    27124      2020-6-12    no    
    87966      2015-9-23    no    
    13232      2017-4-5     no    
    94582      2016-6-20    no    
